rs	[RS, SR]
cegt	[ETCG, TCGE]
8hoz	[HZO8, OHZ8]
achr	[CHAR, HCAR]
acet	[ETCA, TCAE]
acdr	[CDAR, DCAR]
acdm	[CDAM, DCAM]
4dos	[4DSO, 4ODS]
accr	[ARCC, CCAR]
oprt	[PTOR, TPOR]
ghtz	[HZTG, THZG]
ghtt	[THTG, TTHG]
4dgo	[4DOG, 4ODG]
ghst	[SHTG, THSG]
aort	[OTAR, TOAR]
aorr	[AROR, ORAR]
4deo	[4DOE, 4ODE]
aopr	[OPAR, POAR]
ghoz	[HZOG, OHZG]
ghor	[GHOR, HORG]
hort	[HTOR, THOR]
hors	[HSOR, SHOR]
8grt	[RT8G, TR8G]
hoos	[OHSO, SOHO]
8gop	[GPO8, PO8G]
oost	[SOTO, TOSO]
oory	[OYOR, OyOR]
oorr	[OROR, ORRO]
8git	[T8IG, TI8G]
oopt	[OPTO, TOPO]
8ggp	[GP8G, PG8G]
8ggh	[8GHG, HG8G]
2amt	[2TAM, T2AM]
2amo	[2OAM, O2AM]
2air	[2AIR, RAI2]
2aho	[AHO2, OHA2]
4cdo	[4OCD, 4ODC]
2aer	[E2AR, RAE2]
2aem	[2AEM, E2AM]
2aef	[2AEF, 2FAE]
ccrt	[RTCC, TCCR]
eeor	[EEOR, EOER]
ccos	[SCCO, SCOC]
ggho	[GHOG, OGHG]
ccht	[TCCH, TCHC]
ccho	[HCCO, OHCC]
ccgt	[CTCG, TCCG]
ccgs	[GSCC, SCCG]
ccgh	[CHCG, HCCG]
ccft	[FTCC, TCCF]
aahr	[AHAR, HARA]
cceo	[CCOE, ECCO]
ccdo	[DCCO, ODCC]
ccdg	[CDCG, DCCG]
aaer	[AEAR, ARAE]
aaem	[AEAM, AMAE]
aadr	[ADAR, DARA]
cort	[RTCO, TCOR]
cors	[ORSC, SCOR]
ampt	[PTAM, TPAM]
amot	[OTAM, TOAM]
amos	[OSAM, SOAM]
amop	[OPAM, POAM]
amoo	[OAMO, OOAM]
acert	[ETCAR, RTCAE]
aegor	[AEORG, EOARG]
agiir	[AIIRG, GAIIR]
aeghs	[HAESG, HSAEG]
aceht	[CHTAE, TCHAE]
acegt	[AETCG, TCAEG]
dgort	[DORTG, GDTOR]
aceet	[ETCAE, TCEAE]
