rs	[RS, SR]
28cegt	[8ETC2G, 8GETC2]
2cceko	[2OECCK, OE2CCK]
48cdgo	[4DCO8G, 4ODC8G]
4achor	[4OCHAR, 4OHCAR]
doortt	[OTDTOR, TODTOR]
aeiilr	[ERAIIL, REAIIL]
aeiilo	[EOAIIL, OEAIIL]
8aehoo	[OHAEO8, OHO8AE]
adegot	[ODAETG, TODAEG]
adegor	[GDOEAR, OEDARG]
accgrt	[ARTCCG, GTCCAR]
2eeoot	[EOETO2, TOEOE2]
ghortz	[HZORTG, ORTHZG]
aackrt	[TCAKAR, TCARAK]
28ghot	[2OHT8G, OHT28G]
adegho	[DOHAEG, OHAEDG]
2cghoo	[OHCOG2, OHO2CG]
8amopt	[OPT8AM, PTO8AM]
acorrt	[ORTCAR, TCAROR]
48ccgo	[4O8CCG, 4OCC8G]
48ccgh	[4CHC8G, 4HCC8G]
4aeior	[4OEAIR, 4OIRAE]
48ccdo	[4ODC8C, 4ODCC8]
2ccdgo	[2ODCCG, GDCCO2]
48cdego	[4ODC8GE, 4OEDC8G]
8aeghot	[HTAEO8G, OHAET8G]
8dggott	[GDTOT8G, TO8GDTG]
4accdmo	[4OCCDAM, 4ODCCAM]
8aehort	[HOET8AR, HT8AROE]
8acchmo	[HCCO8AM, OHCC8AM]
4cdeooo	[O4ODCOE, 4ODCOEO]
2ccceot	[2CTCCOE, OETCCC2]
8adgior	[GDO8AIR, ODAIR8G]
8adegoo	[GODAEO8, ODAEO8G]
8cdghot	[HTODC8G, OHDTC8G]
8aeggho	[GHAEO8G, GHO8AEG]
8gooprt	[OPTG8OR, OPTOR8G]
4adeoor	[4ODAEOR, 4ODORAE]
48cchoo	[4OHCC8O, 4OHCCO8]
48ehoot	[4OHOET8, 4OHTOE8]
4ddgoot	[4ODODTG, 4ODTODG]
8ccegos	[OESCC8G, SCCOE8G]
2cccdgo	[GDCCCO2, ODCCC2G]
cdggotz	[GTCODZG, GTODZCG]
88acegt	[8AETC8G, 8TC8AEG]
88acegs	[8AESC8G, SC8AE8G]
8cdeego	[EDCOE8G, EOEDC8G]
ccdegot	[DCOETCG, OEDCCTG]
ccdegos	[OEDCSCG, SOEDCCG]
ccdegor	[OEDCCGR, ROEDCCG]
ccdegoo	[GODCCOE, ODCCOEG]
8cccego	[8OECCCG, OECCC8G]
8acdmot	[DTCO8AM, ODTC8AM]
8acmopt	[OPTC8AM, PTCO8AM]
48degoo	[4ODOE8G, 8G4ODOE]
8acegrt	[ETC8ARG, GETC8AR]
8acegrs	[ESC8ARG, SC8GEAR]
8ccghoo	[OCHCO8G, OHCCO8G]
4egoopt	[4OGPTOE, 4OPTOEG]
4ccdgoz	[4OCCDZG, 4ODZCCG]
4ccdgos	[4ODCCSG, 4ODCSCG]
8accegs	[GSCC8AE, SCCAE8G]
accdeeo	[AEDCCOE, OEDCCAE]
ccdoort	[ODCCTOR, TODCCOR]
48cehoo	[4OHC8OE, 4OHCOE8]
8acefot	[FTCO8AE, OFTC8AE]
ccdggtz	[GTCCDZG, GTCDZCG]
8accdor	[DCCO8AR, ODCC8AR]
8accdmo	[DCCO8AM, ODCC8AM]
8achort	[HTCO8AR, OHCT8AR]
8ccgght	[8GHTCCG, TC8GHCG]
8ccggho	[GHCCO8G, OHCCG8G]
88cgops	[P8SCO8G, PO8SC8G]
8accdeo	[DCCO8AE, ODCC8AE]
8accdeg	[AEDCC8G, GDCC8AE]
8cegott	[TCOET8G, TOETC8G]
8cegopt	[OEPTC8G, POETC8G]
8cegops	[OEPSC8G, PSCOE8G]
8cegoot	[OETC8GO, OETCO8G]
8acccmo	[CCCO8AM, OCCC8AM]
cccghot	[OHTCCCG, TOHCCCG]
4ccdeoo	[4OCDCOE, 4ODCCOE]
aceghot	[GHAETOC, OHAETCG]
8aegopt	[OPAET8G, OPTAE8G]
acehoor	[OHCOEAR, OHCORAE]
aaeoprr	[OPAERAR, POEARAR]
8achmot	[HTCO8AM, OHTC8AM]
cccgght	[GHTCCCG, TCCGHCG]
8cdgotz	[TDZCO8G, TODZC8G]
acdegot	[ODAETCG, TCODAEG]
8cdgoot	[ODTCO8G, TODCO8G]
ccegott	[TCOETCG, TOETCCG]
ccdeoos	[SCODCOE, SODCCOE]
8cgopsz	[8OPZSCG, SOPZC8G]
48cccgo	[4OC8CCG, 4OCCC8G]
adiilot	[ODTAIIL, TODAIIL]
8cgghot	[TCOHG8G, TGHCO8G]
aadgilr	[DARAILG, GDARAIL]
8ccdgos	[DCCSO8G, ODCSC8G]
8ccdgoo	[OCDCO8G, ODCCO8G]
8ccgpst	[SCPTC8G, TPSCC8G]
8aceort	[OETC8AR, RTCO8AE]
8aceopt	[OPTC8AE, PTCO8AE]
8ccdggt	[TCGDC8G, TGDCC8G]
2aaiilr	[2AIILAR, 2ARAIIL]
8cghoot	[OHCO8TG, OHTCO8G]
24cchoo	[4OHCCO2, 4OHOCC2]
4ccdoor	[4OCDCOR, 4ODCCOR]
8cgoopt	[OPTCO8G, POTCO8G]
ahioorr	[HAIROOR, OHAIROR]
-88aamn	[8AM-8AN, 8AN-8AM]
8agghor	[GHARO8G, OHG8ARG]
2ccdego	[2OEDCCG, GDCCOE2]
8ccgopt	[OPTCC8G, PTCCO8G]
ccdgosz	[SCCODZG, SCODZCG]
aeooprt	[OPTAEOR, PORATOE]
8aaiirr	[8AIRAIR, 8ARAIIR]
ceghott	[HTCOETG, TCGHTOE]
ceghoot	[OHOETCG, OHTCOEG]
accghor	[AROHCCG, OHCCARG]
ccghotz	[TCOHZCG, TOHZCCG]
48acdmo	[4DCO8AM, 4ODC8AM]
48cdgos	[4ODCS8G, 4ODSC8G]
88cegot	[8OETC8G, 8TCOE8G]
28ccdgo	[2DCCO8G, 2ODCC8G]
4ccegos	[4OESCCG, SCCG4OE]
4adeeoo	[4ODAEOE, 4OOEDAE]
4ccghot	[4OCHTCG, 4OHTCCG]
8ceghot	[EHTCO8G, HOETC8G]
8ceghos	[OEHS8CG, OEHSC8G]
8ceghoo	[OEHCO8G, OHCOE8G]
88ccdgg	[8GDCC8G, DG8CC8G]
cccdego	[OECDCCG, OEDCCCG]
4aahilor	[4OHAILAR, 4OHARAIL]
8aceghos	[8AEHCOSG, OHAESC8G]
8ahiilot	[HTO8AIIL, OHT8AIIL]
cccdegot	[TCOEDCCG, TOEDCCCG]
cccdghoo	[ODCOHCCG, OHCODCCG]
88ccdgot	[8TCODC8G, TCO8DC8G]
8aciilot	[8TCOAIIL, TCO8AIIL]
8ceghoot	[OEOHTC8G, OHOETC8G]
8cccdgot	[ODCCTC8G, TCCDCO8G]
8cccdgos	[SCDCCO8G, SCODCC8G]
8cccdggs	[GDCCSC8G, SCGDCC8G]
8ccghoot	[OHCOTC8G, OHTO8CCG]
488cgopt	[4OPTC88G, 4OPTC8G8]
8cccdego	[EDCCCO8G, OEDCCC8G]
aaehiilo	[OHAEAIIL, OHAIILAE]
4adeiilo	[4ODEAIIL, 4OEDAIIL]
8aeghooz	[HZO8OAEG, OHZO8AEG]
adeiilot	[TDAIILOE, TOEDAIIL]
8accdgor	[8ARODCCG, GDCCO8AR]
8accdgmo	[AMODCC8G, GDCCO8AM]
48ccdgot	[4ODCTC8G, 4ODTCC8G]
48ccdgos	[4ODCSC8G, 4ODSCC8G]
48ccdgoo	[4CODCO8G, 4ODCCO8G]
8ccdegoo	[OEDCCO8G, OEODCC8G]
ccdeegoo	[OEDCCOEG, OEOEDCCG]
8acchilo	[HCCO8AIL, OHCC8AIL]
8accdiilo	[DCCO8AIIL, ODCC8AIIL]
8cccdegot	[TCOEDCC8G, TOEDCCC8G]
opt	[OPT, PTO, TOP]
aor	[AOR, OAR, ORA]
anr	[ANR, ARN, RAN]
agr	[ARG, GAR, RAG]
adt	[DTA, TAD, TDA]
8ot	[8TO, T8O, TO8]
8os	[8SO, S8O, SO8]
8or	[8OR, O8R, RO8]
8ag	[8AG, 8GA, A8G]
8ae	[8AE, AE8, E8A]
hot	[HTO, OHT, TOH]
grt	[GRT, RTG, TRG]
gpt	[PTG, TGP, TPG]
got	[GTO, OTG, TOG]
gor	[GOR, OGR, ORG]
ght	[GHT, HTG, THG]
ghs	[GHS, HSG, SHG]
gho	[GHO, HOG, OHG]
fot	[FTO, TFO, TOF]
2ot	[2TO, T2O, TO2]
2or	[2OR, OR2, RO2]
ert	[ETR, RTE, TER]
eor	[EOR, OER, ROE]
2gs	[2SG, GS2, S2G]
2do	[2OD, DO2, OD2]
ego	[EOG, GOE, OEG]
eeo	[EEO, EOE, OEE]
dot	[DTO, TDO, TOD]
dgt	[DTG, GDT, TDG]
dgs	[DSG, GDS, SDG]
deo	[DOE, EDO, ODE]
28g	[82G, 8G2, G82]
cot	[CTO, OCT, TCO]
cdo	[CDO, DCO, ODC]
8eos	[8SOE, ESO8, S8OE]
8eeo	[E8OE, EEO8, OEE8]
28go	[2O8G, 8O2G, O8G2]
8deo	[8DOE, DO8E, OD8E]
eoot	[OTOE, TOEO, TOOE]
eoos	[OESO, OSOE, SOEO]
8cot	[8CTO, 8TCO, TCO8]
8cho	[HC8O, HCO8, OHC8]
8cgt	[8TCG, GTC8, TC8G]
8cgo	[8OCG, CO8G, OC8G]
dggt	[GDTG, GTDG, TGDG]
8cet	[E8TC, ETC8, TC8E]
8cco	[8CCO, 8OCC, O8CC]
gort	[GTOR, ROTG, TORG]
gors	[GSOR, ORSG, SORG]
fgot	[FTOG, OFTG, TOFG]
deot	[DTOE, EDTO, TDOE]
deos	[DSOE, EDSO, SDOE]
8agt	[8ATG, GT8A, TA8G]
8agr	[8ARG, 8GAR, G8AR]
8agn	[8ANG, AN8G, G8AN]
8aer	[8AER, 8EAR, E8AR]
dego	[DOEG, GDOE, OEDG]
8aem	[8AME, 8EAM, E8AM]
8adg	[8ADG, AD8G, DA8G]
8aar	[8AAR, A8AR, ARA8]
ahrt	[HART, HTAR, THAR]
2got	[GTO2, O2TG, TO2G]
2gor	[2ORG, OR2G, RO2G]
dotz	[DZTO, TDZO, TODZ]
dort	[DTOR, ODTR, TDOR]
88gt	[8T8G, 8TG8, T88G]
88eo	[8EO8, 8O8E, 8OE8]
2eot	[2TOE, OET2, TOE2]
2ego	[2OEG, GOE2, OE2G]
cgrt	[RTCG, TCGR, TCRG]
cgpt	[CPTG, PTCG, TCPG]
aert	[ETAR, TARE, TEAR]
cgot	[GTCO, OTCG, TCOG]
aeot	[OETA, OTAE, TOAE]
aeno	[EOAN, OANE, OEAN]
aemo	[AMOE, EOAM, OEAM]
aekt	[ETAK, TAEK, TEAK]
cghs	[HSCG, SCHG, SHCG]
aeho	[AHOE, HAOE, OHAE]
aegs	[AESG, GSAE, SAEG]
aegr	[ERAG, GEAR, RAEG]
aeet	[AETE, ETAE, TEAE]
ehot	[HTOE, OHTE, THOE]
admo	[DOAM, ODAM, ODAM]
adgt	[ADTG, GDTA, TADG]
adgr	[DARG, GADR, GDAR]
adeg	[AEDG, DAEG, GDAE]
4eoo	[4OOE, O4OE, OE4O]
2cot	[2TCO, OTC2, TCO2]
aprt	[PATR, PTAR, TPAR]
2ccg	[2CCG, CC2G, GCC2]
egos	[GSOE, OESG, SOEG]
egor	[EORG, GEOR, ROEG]
ceot	[ETCO, OETC, TCOE]
8hot	[HTO8, OHT8, THO8]
achm	[CHAM, HACM, HCAM]
aory	[AYOR, OYAR, OyAR]
8gtt	[8TTG, T8TG, TT8G]
8gst	[8STG, S8TG, ST8G]
hoot	[HOTO, OHTO, TOHO]
8gos	[8SOG, OS8G, SO8G]
cdeo	[CDOE, DCOE, EDCO]
oort	[ORTO, OTOR, TOOR]
oors	[OSOR, SOOR, SORO]
2aor	[2ARO, 2OAR, A2OR]
8ghz	[8HZG, HZ8G, HZG8]
8ggt	[8GTG, GT8G, TG8G]
2agr	[2ARG, 2ARG, G2AR]
2aeo	[2AEO, AEO2, O2AE]
2aeg	[2AEG, AE2G, AEG2]
ccrs	[RSCC, SCCR, SCRC]
gght	[GHTG, GTHG, TGHG]
aegpt	[GPTAE, PGTAE, TPAEG]
acers	[ESCAR, RSCAE, SCAER]
dgotz	[DZOTG, TDZOG, TODZG]
acegs	[AESCG, GSCAE, SCAEG]
dgost	[ODTSG, SODTG, TODSG]
adlot	[DTOAL, ODTAL, TODAL]
8eoor	[8OEOR, OE8OR, OEOR8]
8akor	[8AROK, OR8AK, RO8AK]
ceopt	[EPTCO, PTCOE, TCPOE]
8dgtz	[8TDZG, TDZ8G, TDZG8]
acdrs	[DCSAR, SCDAR, SDCAR]
cdgtz	[DZTCG, TCDZG, TDZCG]
cdgst	[SCDTG, SDTCG, TCDSG]
ahort	[HTOAR, OHTAR, TOHAR]
cdgoz	[CODZG, OCDZG, ODZCG]
acdgt	[DTCAG, TCADG, TDCAG]
cgpsz	[PZCSG, SCPZG, SPZCG]
ghotz	[HZOTG, THZOG, TOHZG]
ghost	[SOHTG, TOHSG, TSOHG]
cdggt	[GDTCG, TCGDG, TGDCG]
goort	[GOTOR, OROTG, OTORG]
aeeho	[EOHAE, HAEOE, OEHAE]
8gort	[8ORTG, RTO8G, TOR8G]
8gopt	[OPT8G, PO8TG, PTO8G]
8goot	[8TOOG, OTO8G, TOO8G]
28aeo	[2O8AE, 8AEO2, 8O2AE]
28aeg	[2AE8G, 8AE2G, G8AE2]
cfgot	[FOTCG, OFTCG, TOCFG]
ahmor	[HORAM, OHARM, ROHAM]
8dego	[8OEDG, DOE8G, EDO8G]
4adeo	[4ODAE, 4ODAE, 4ODAE]
cdegt	[EDCTG, EDTCG, TCDGE]
cdego	[DCOEG, GDCOE, OEDCG]
8ahmo	[8HOAM, HO8AM, OHAM8]
aeorr	[EAROR, EORAR, RORAE]
8agir	[8AIRG, 8GAIR, G8AIR]
8agho	[GHO8A, OHA8G, OHG8A]
2chot	[HTCO2, OHTC2, THCO2]
eghot	[GHTOE, OEHTG, TOEHG]
adgor	[DOARG, GDARO, ODARG]
adgmo	[GDOAM, GODAM, ODAMG]
48gho	[4HO8G, 4OH8G, 4OHG8]
ehoot	[HOTOE, OHTOE, TOHOE]
ehoos	[OEHSO, OHSOE, SOHOE]
cdort	[DTCOR, TCDOR, TDCOR]
eoort	[OETOR, TOEOR, TOROE]
2cgho	[2OHCG, GHCO2, OHCG2]
ccgos	[GSCCO, SCCOG, SOCCG]
8cght	[GHTC8, HTC8G, THC8G]
8aeho	[HO8AE, OH8AE, OHAE8]
ccghs	[HSCCG, SCCHG, SCHCG]
2ehoo	[2OHOE, HOEO2, OHOE2]
adeos	[ODSAE, SADOE, SODAE]
adeko	[EDAKO, EODAK, OEDAK]
8adeg	[8AEDG, DAE8G, GDAE8]
doort	[DOTOR, ODTOR, TODOR]
2ceot	[2TCOE, ETCO2, TCOE2]
8ceos	[8SCOE, OESC8, SC8OE]
8egho	[HG8EO, HOE8G, OHGE8]
2ghot	[2OHTG, GHTO2, HOT2G]
8aopr	[OP8AR, P8ARO, PO8AR]
8ghos	[HSO8G, OHS8G, S8OHG]
cghtz	[HZTCG, TCHZG, THZCG]
8cdot	[DCTO8, ODTC8, TODC8]
ccdos	[DCCSO, ODCSC, SDCCO]
8cdgs	[8DSCG, DCS8G, DSC8G]
8cdgo	[DCO8G, GDCO8, ODC8G]
88got	[8TO8G, T8O8G, TO88G]
choos	[HOSCO, OHSCO, SOHCO]
ccdgz	[CCDZG, CDZCG, DZCCG]
ccdeo	[DCCOE, EDCCO, OEDCC]
adort	[DTOAR, ODTAR, TODAR]
2ccot	[OTCC2, TCCO2, TOCC2]
2ccho	[HCCO2, HOCC2, OHCC2]
8ccos	[8SCCO, SCC8O, SCCO8]
2ccdo	[DCCO2, DOCC2, ODCC2]
2ccdg	[2DCCG, DC2CG, GDCC2]
8ccgo	[CCO8G, O8CCG, OCC8G]
8ccgh	[CHC8G, GHC8C, HCC8G]
cgght	[GHCTG, GHTCG, TCGHG]
8cceo	[8CCOE, CC8OE, OECC8]
8ccdg	[8DCCG, CDC8G, DCC8G]
2copt	[OPTC2, PTCO2, TCPO2]
cccdg	[CDCCG, DCCCG, GDCCC]
egort	[ROETG, RTOEG, TOREG]
aaeir	[AEAIR, AIRAE, ARAIE]
deort	[DTOER, DTORE, EDTOR]
deoot	[ODTOE, OEDTO, TODOE]
ccort	[RTCCO, TCCOR, TOCCR]
hoort	[OHTOR, ROHTO, TOHOR]
2aeior	[2AIROE, AIROE2, EO2AIR]
acmopt	[OPTCAM, TCOPAM, TOCPAM]
8cdgtz	[8TCDZG, TCDZ8G, TDZC8G]
8cdgsz	[8SCDZG, SCDZ8G, SDZC8G]
8cdgst	[GDTCS8, SCDT8G, SDTC8G]
8gghor	[8GHORG, GHORG8, ROHG8G]
4admoo	[4ODOAM, 4OODAM, O4ODAM]
8cdgor	[8GDCOR, GDC8OR, ODC8GR]
8cdggt	[8TGDCG, GDTC8G, TC8GDG]
8ghoot	[OHO8TG, OHTO8G, TOHO8G]
cccdgs	[SCCCDG, SCCDCG, SCDCCG]
cegopt	[OEPTCG, POETCG, PTCOEG]
48dgoz	[4DZO8G, 4O8DZG, 4ODZ8G]
cdeoot	[ODCTOE, ODTCOE, TODCOE]
cdeoor	[DCOEOR, DCOROE, ODCORE]
8cfgot	[FTCO8G, OFTC8G, TCOF8G]
cefgot	[FOETCG, OEFTCG, TCFOEG]
8acmot	[TCO8AM, OTC8AM, TCO8AM]
cdgoot	[ODCTOG, ODOTCG, TCOODG]
8adgor	[DARO8G, DO8ARG, GDO8AR]
ccdgsz	[SCCDZG, SCDZCG, SDZCCG]
ccdgoo	[GODCCO, ODCCOG, ODOCCG]
cghost	[HTCOSG, OHCTSG, SOHTCG]
ccdggo	[GDCCOG, GODCCG, OGDCCG]
88cgot	[8TCO8G, O88TCG, O8TC8G]
8eggho	[8GHOEG, GHOE8G, OEHG8G]
8ccgos	[GSCCO8, OSCC8G, SCCO8G]
8aemot	[OET8AM, T8OEAM, TOE8AM]
88aegt	[8AET8G, 8GT8AE, T8AE8G]
8ccght	[GHCTC8, HCTC8G, TCHC8G]
ccdeoo	[OCDCOE, ODCCOE, OEDCCO]
8adeeo	[DOE8AE, EDO8AE, O8AEDE]
8ccfgt	[CFTC8G, FTC8CG, TFCC8G]
4ccgot	[4OCCTG, 4OCTCG, 4OTCCG]
acdeot	[ODAETC, TCODAE, TODCAE]
8cegos	[ESCO8G, OESC8G, SCOE8G]
8agmop	[GPO8AM, OPG8AM, PAMO8G]
8cegho	[HC8GOE, OEHC8G, OHC8GE]
8ccego	[EOCC8G, OE8CCG, OECC8G]
28cgot	[2O8TCG, TCO28G, TCO8G2]
ceghos	[HCOESG, HOESCG, OEHSCG]
8ccdgs	[8DSCCG, SCDC8G, SDCC8G]
8ccdgo	[DCCO8G, DO8CCG, ODCC8G]
ceoort	[OETCOR, TCOEOR, TCOROE]
8aeior	[8AIROE, AIRO8E, OE8AIR]
8cggho	[GHCO8G, GOHC8G, OHCG8G]
8cccdg	[CDCC8G, DCC8CG, DCCC8G]
8egoot	[8OETOG, OTOE8G, TOEO8G]
8aehot	[HTO8AE, OHT8AE, OHTAE8]
2ccdoo	[ODC2OC, ODCC2O, ODCCO2]
8cdegot	[DOETC8G, OEDTC8G, TOEDC8G]
8cdegoo	[ODCOE8G, OEDCO8G, OEODC8G]
8adegot	[DO8AETG, ODAET8G, ODTAE8G]
8ccegot	[8OETCCG, OETCC8G, TCCOE8G]
accdeor	[AEDCCOR, EDCCOAR, OEDCCAR]
4ccdgoo	[4ODCCOG, 4ODOCCG, O4ODCCG]
2ccdgot	[2ODTCCG, TODC2CG, TODCC2G]
ccdgott	[OTCCDTG, TCODTCG, TODTCCG]
ccdgost	[SCODTCG, SDOTCCG, SODTCCG]
4cccgho	[4OCCCHG, 4OCHCCG, 4OHCCCG]
8ccdego	[EDCCO8G, EODCC8G, OEDCC8G]
cccdgos	[ODCCSCG, SCODCCG, SODCCCG]
ccghott	[TCOCHTG, TCOHTCG, TOHTCCG]
48cdgot	[4DTCO8G, 4ODCT8G, 4ODTC8G]
48cdgoo	[4ODCO8G, 4ODOC8G, O4ODC8G]
4cccdgo	[4CODCCG, 4OCDCCG, 4ODCCCG]
8cccghot	[OHCC8TCG, OHCTCC8G, TOCHCC8G]
8acccdeg	[8AEDCCCG, DC8AECCG, EDCCCA8G]
8ccdegot	[OEDCCT8G, TCOEDC8G, TOEDCC8G]
8ccdegos	[SC8DCOEG, SCOEDC8G, SOEDCC8G]
aer	[AER, ARE, EAR, RAE]
aeo	[AEO, AOE, OAE, OEA]
8gs	[8GS, 8SG, G8S, S8G]
8eo	[8OE, EO8, O8E, OE8]
8eg	[8EG, 8GE, E8G, G8E]
hos	[HOS, HSO, OHS, SOH]
gos	[GSO, OSG, SGO, SOG]
2eo	[2OE, EO2, O2E, OE2]
dos	[DSO, ODS, SDO, SOD]
8eor	[8EOR, 8OER, 8ORE, 8ROE]
8ego	[8GOE, 8OEG, EO8G, OE8G]
8dgo	[8ODG, DO8G, OD8G, ODG8]
8dgg	[8GDG, DG8G, GD8G, GDG8]
8cos	[8SCO, O8SC, OSC8, SCO8]
dgos	[DSOG, GDSO, ODSG, SODG]
8cgh	[8HCG, CHG8, GHC8, HC8G]
8ort	[8TOR, RTO8, T8OR, TO8R]
gopt	[GPTO, OPTG, PTOG, TOPG]
8agm	[8AMG, 8GAM, AM8G, G8AM]
8aet	[8TAE, AET8, T8AE, TAE8]
8aeg	[8AEG, 8EAG, AE8G, G8AE]
chot	[CHTO, HTCO, TCOH, TOHC]
cgos	[GSCO, OSCG, SCOG, SOCG]
cght	[HCTG, HTCG, TCHG, THCG]
adeo	[DAOE, ODAE, ODEA, OEDA]
egot	[GTOE, OETG, TOEG, TOGE]
egho	[EOHG, GHOE, OEHG, OHEG]
2ort	[2TOR, ROT2, RTO2, TOR2]
ghot	[GHTO, OHTG, OTHG, TOHG]
ghos	[GHSO, HOSG, OHSG, SOHG]
cdot	[DTCO, ODTC, OTCD, TCOD]
8gpt	[8PTG, GPT8, PT8G, TP8G]
cdgo	[DCOG, GDCO, OCDG, ODCG]
8gor	[8ORG, G8OR, OR8G, RO8G]
2ano	[2ANO, 2OAN, O2AN, OAN2]
eeot	[ETOE, OETE, TEEO, TEOE]
copt	[OCPT, OPTC, PTCO, TCOP]
amor	[AMRO, AROM, ORAM, ROAM]
8dgot	[8ODTG, DTO8G, ODT8G, ODTG8]
28ccg	[2CC8G, 8C2CG, C2C8G, G8CC2]
8dggt	[8GDTG, 8TGDG, DTG8G, GDT8G]
ghort	[GHTOR, HORTG, HTORG, TOHGR]
cgort	[GTCOR, ORTCG, TCGOR, TCORG]
8aior	[8AIRO, 8ARIO, AIRO8, O8AIR]
cdeot	[CDTOE, DTCOE, EDTCO, TCDOE]
cdeos	[DSCOE, ESCOD, SCDOE, SDCOE]
aeort	[AETOR, ETOAR, OETAR, TAEOR]
8aggh	[8AGHG, GHA8G, HAG8G, HGA8G]
cdoot	[ODCTO, ODTCO, TCODO, TODCO]
2aeor	[2AEOR, 2AROE, 2ORAE, OE2AR]
2aemo	[2AEOM, 2OEAM, EO2AM, OE2AM]
8cgos	[8SCOG, GSCO8, OSC8G, SCO8G]
degot	[DTOEG, GDTOE, OEDTG, TOEDG]
2aeeo	[2AEOE, 2OEAE, AEOE2, OEAE2]
8aemo	[8AMOE, 8OEAM, EO8AM, OE8AM]
ccgot	[GTCCO, OTCCG, TCCOG, TOCCG]
8aegt	[8AETG, AET8G, T8AEG, TAE8G]
8aeeo	[8AEOE, AEOE8, OE8AE, OEAE8]
2adeo	[2ODAE, DA2OE, DAEO2, ODAE2]
adegt	[AEDTG, AETDG, TAEDG, TDAEG]
cegot	[EOTCG, GTCOE, OETCG, TCOEG]
cghoz	[COHZG, HZCOG, HZOCG, OHZCG]
2ccgt	[2TCCG, GTCC2, TC2CG, TCC2G]
2aaer	[2AEAR, 2ARAE, AE2AR, ARAE2]
8ccgs	[8SCCG, GSCC8, SC8CG, SCC8G]
8aaer	[8AEAR, 8ARAE, AE8AR, ARAE8]
egopt	[GPTOE, PGTOE, POETG, PTOEG]
deoos	[DOESO, DSOEO, ODSOE, SODOE]
deoor	[DOEOR, DOROE, ODEOR, OEDOR]
8amor	[8ORAM, O8ARM, OR8AM, RO8AM]
8aegho	[HAEO8G, HO8AEG, OHAE8G, OHG8AE]
8acegt	[8AETCG, AETC8G, GTC8AE, TC8AEG]
ccegho	[GHCCOE, OEHCCG, OHCCGE, OHECCG]
ccghot	[OHCCTG, OHTCCG, TCOHCG, TOHCCG]
cccdgo	[GDCCCO, OCCCDG, OCDCCG, ODCCCG]
degoor	[GDOEOR, GOEDOR, ODGEOR, OEDORG]
8cgopt	[OPTC8G, PO8TCG, POTC8G, PTCO8G]
4cdgot	[4OCDTG, 4ODCTG, 4ODTCG, 4OTCDG]
adeoor	[ODAEOR, ODAROE, ODOEAR, OEODAR]
ccdgtt	[TCCDTG, TCDTCG, TDTCCG, TTCCDG]
cghott	[OHTCTG, TCGHTO, TOCHTG, TOHTCG]
aceort	[ARTCOE, OETCAR, TCAEOR, TCOEAR]
ccdggs	[GDCCSG, GDCSCG, GDSCCG, SGDCCG]
8degot	[8OEDTG, DOET8G, OEDT8G, TDOE8G]
ccdego	[EODCCG, GDCCOE, ODCCGE, OEDCCG]
8acgrt	[8ARTCG, 8GTCAR, GTC8AR, TC8GAR]
8aaeor	[8AROAE, AEO8AR, O8AEAR, OAE8AR]
8cccgh	[8CCCHG, CHCC8G, GHCCC8, HCCC8G]
cdegos	[DOESCG, GDSCOE, OEDCSG, OEDSCG]
8aaegr	[8AEARG, 8ARAEG, ARAE8G, G8ARAE]
cdoort	[DOTCOR, ODTCOR, TCODOR, TODCOR]
8cccgho	[HCO8CCG, HO8CCCG, OHC8CCG, OHCCC8G]
cceghot	[GHCTCOE, OEHTCCG, OETCCHG, TCOEHCG]
8ccghot	[CHTCO8G, OHTC8CG, OHTCC8G, TOHCC8G]
4ccdgot	[4OCDTCG, 4ODCCTG, 4ODCTCG, 4ODTCCG]
8cccdgo	[DCCCO8G, OCDCC8G, ODCC8CG, ODCCC8G]
48ccdgo	[4DCCO8G, 4O8DCCG, 4OCDC8G, 4ODCC8G]
8ccdggo	[GDCCO8G, GDCO8CG, GODCC8G, OGDCC8G]
8eot	[8TOE, ETO8, T8OE, TO8E, TOE8]
eort	[ETOR, OETR, ORTE, RTOE, TEOR]
dgot	[DTOG, GDTO, ODTG, TDOG, TODG]
8aeo	[8AEO, 8OAE, AEO8, O8AE, OE8A]
ahor	[AHOR, HAOR, HOAR, OHAR, OHRA]
aeor	[AEOR, AROE, EOAR, OEAR, ORAE]
2cgt	[2TCG, GTC2, T2CG, TC2G, TCG2]
cdgt	[DCTG, DTCG, GTCD, TCDG, TDCG]
cdgs	[CDSG, DSCG, SCDG, SCGD, SDCG]
8gho	[8OHG, GHO8, HO8G, OH8G, OHG8]
8aegs	[8AESG, 8SAEG, GS8AE, S8AEG, SG8AE]
ccght	[HCCTG, HTCCG, TCCHG, TCHCG, THCCG]
8egot	[8TOEG, ETO8G, OET8G, T8OEG, TOE8G]
8egos	[8OESG, 8SOEG, ESO8G, OES8G, SOE8G]
8cegt	[E8TCG, ETC8G, GTC8E, TC8EG, TC8GE]
cegho	[EOCHG, GHCOE, HCOEG, OEHCG, OHCEG]
8ghot	[8TOHG, HTO8G, OHT8G, OHTG8, THO8G]
cghos	[HOSCG, OHCSG, OHSCG, SCOHG, SOHCG]
8cdgt	[DCT8G, DTC8G, GDTC8, TC8DG, TDC8G]
ccdgs	[DCSCG, DSCCG, SCCDG, SCDCG, SDCCG]
ccdgo	[DCCOG, GDCCO, OCCDG, OCDCG, ODCCG]
8ccgt	[8TCCG, CTC8G, T8CCG, TC8CG, TCC8G]
