2AEDCCG	0.897858684336 0.897858684815 0.294738231423 0.294738231902
2AEE	0.89786636353 0.897867112015 0.237490350961 0.237491099446
2AEF	0.897868071938 0.897868154023 0.283097681933 0.283097764019
2AEG	0.897873318226 0.897874339639 0.305791935133 0.305792956546
2AEHAR	0.897875242457 0.897875243953 0.603620663964 0.60362066546
2AEHC8G	0.897875621395 0.897875621617 0.361700053807 0.361700054028
2AEM	0.897882921344 0.897883093992 0.448278729252 0.4482789019
2AEO	0.897891675899 0.897893282454 0.491398838724 0.491400445279
2AEOE	0.897886534552 0.897886626533 0.25254418606 0.25254427804
2AEOE2	0.897886639727 0.897886641548 0.902498660735 0.902498662556
2AEOM	0.897888569319 0.897888590535 0.451751091768 0.451751112985
2AEOMSCOE	0.897888555746 0.897888555747 0.251933266392 0.251933266393
2AEOR	0.897890498175 0.897890565305 0.622940401909 0.622940469039
2AESC8G	0.897899935703 0.897899935858 0.361832355534 0.361832355689
2AESHZ8G	0.897900414239 0.89790041424 0.364742696419 0.36474269642
2AETC8	0.897902627602 0.897902632315 0.945935056189 0.945935060902
2AETC8G	0.897902615026 0.897902615395 0.361847902473 0.361847902841
2AETCG	0.897902305925 0.897902311781 0.29921315455 0.299213160406
2AETCOE	0.897902381694 0.897902382222 0.251951753938 0.251951754466
2AETHC8GHAR	0.897903652396 0.897903652396 0.603635906614 0.603635906614
2AEYAR	0.897906901358 0.897906901375 0.604767260412 0.604767260429
2AGDCC8G	0.897962135805 0.897962135846 0.361566653151 0.361566653192
2AGFTC8G	0.897974864174 0.897974864177 0.361849452811 0.361849452815
2AHAR	0.89806328298 0.898063309101 0.603602628641 0.603602654763
2AHZG	0.898100345856 0.898100354792 0.345224707551 0.345224716488
2AI	0.898145632499 0.898151797157 0.40325282566 0.403258990318
2AIE	0.898125904173 0.898126257119 0.247497552175 0.24749790512
2AIETC8G	0.898125753366 0.898125753376 0.361848438581 0.361848438591
2AIIK	0.898131969578 0.898131970997 0.431868648337 0.431868649755
2AIIL	0.89813197901 0.898131980405 0.440334675222 0.440334676617
2AIILAR	0.898131972501 0.898131972505 0.603835401951 0.603835401956
2AIIR	0.898132192232 0.898132199186 0.619632226239 0.619632233193
2AIIRAE	0.898132158452 0.898132158483 0.227163845087 0.227163845118
2AIIROE	0.898132180706 0.898132180755 0.255296349365 0.255296349414
2AIITOR	0.898132267448 0.898132267498 0.625325745363 0.625325745413
2AIK	0.898132866162 0.898132918714 0.43179213755 0.431792190102
2AIL	0.898133215525 0.8981332672 0.440259441981 0.440259493656
2AILAR	0.898132974416 0.898132974583 0.60383515793 0.603835158097
2AIR	0.898141113348 0.89814137094 0.619257195632 0.619257453224
2AIRAE	0.898139862109 0.898139863254 0.227162178374 0.227162179519
2AIRAN	0.898139888377 0.898139888474 0.458701164355 0.458701164452
2AIRG	0.898140426028 0.898140446153 0.336324580034 0.33632460016
2AIROE	0.898140686439 0.898140688251 0.255293710742 0.255293712554
2AIROK	0.898140722188 0.898140722458 0.432952946796 0.432952947065
2AIROR	0.898140764537 0.89814076586 0.624947099205 0.624947100527
2AK	0.898166076013 0.898168022557 0.428958145756 0.428960092299
2AKAE8G	0.898156633374 0.898156633416 0.362251048025 0.362251048067
2AL	0.898179016557 0.898180930599 0.437472771014 0.437474685056
2AM	0.898197404709 0.898200420227 0.4461966989 0.446199714418
2AM-ODCAK	0.898200485358 0.898200485358 0.42841904181 0.42841904181
2AMTG	0.898196324344 0.898196338172 0.342241589849 0.342241603677
2AMTOR	0.898196556928 0.898196557837 0.625335982894 0.625335983803
2AN	0.898208175147 0.898209283847 0.45881157286 0.45881268156
2AN8G	0.898209789325 0.898209794772 0.363393316739 0.363393322186
2ANO	0.89820677371 0.898206909957 0.51970592018 0.519706056426
2ANTCG	0.898207675207 0.898207675704 0.299316330952 0.299316331448
2AR	0.898471555255 0.89848109657 0.605365903755 0.60537544507
2ARAE	0.89842520882 0.898425251223 0.227100442603 0.227100485007
2ARAI2E	0.898426000533 0.898426000556 0.276251059519 0.276251059542
2ARAIIL	0.898425934651 0.898425934656 0.440334529707 0.440334529711
2ARAIIR	0.898425935343 0.898425935366 0.619631500858 0.619631500881
2ARAIL	0.898425938662 0.89842593883 0.440254052027 0.440254052195
2ARAIR	0.898425964279 0.898425965114 0.619230327218 0.619230328053
2ARAK	0.898426045246 0.89842605156 0.428755109357 0.428755115671
2ARAM	0.898426146862 0.898426156643 0.445882161993 0.445882171774
2ARAN	0.898426181796 0.898426185392 0.458695928752 0.458695932348
2ARAR	0.898427036079 0.898427067026 0.604370686381 0.604370717329
2ARARG	0.898426953503 0.898426955921 0.335161497924 0.335161500342
2ARG	0.89844609662 0.898446842082 0.3352392542 0.335239999662
2ARO	0.898459494678 0.898460667197 0.537715775798 0.537716948317
2AROE	0.898455742347 0.898455809478 0.255195975017 0.255196042148
2AROESCC8G	0.89845569905 0.89845569905 0.361588251652 0.361588251652
2AROET8G	0.898455734546 0.898455734565 0.364498605401 0.36449860542
2AROR	0.898458635135 0.898458684129 0.624875768325 0.624875817319
2ARTCG	0.898467252836 0.898467257109 0.299381975024 0.299381979297
2C69	0.900845240967 0.900845240994 0.99983568481 0.999835684837
2C8AM	0.900851342474 0.900851360996 0.446232732313 0.446232750836
2CC8G	0.899366245316 0.899366383209 0.361600520234 0.361600658126
2CC8IR	0.899367106661 0.899367108652 0.620240853953 0.620240855944
2CCC2	0.899216636782 0.899216691067 0.899216636782 0.899216691067
2CCG	0.899250494981 0.899252687801 0.295279179644 0.295281372464
2CCGAR	0.899240263421 0.899240270534 0.603364909494 0.603364916607
2CIIIL	0.899832799385 0.899832799432 0.440336722155 0.440336722202
2CIIR	0.899833109701 0.899833118452 0.61963514749 0.619635156241
2CO8AM	0.90015435057 0.900154352847 0.446253172576 0.446253174852
2CTCCOE	0.900338781665 0.900338782797 0.251581809914 0.251581811046
2DAE	0.900989309388 0.900989951389 0.225388233555 0.225388875556
2DAIIL	0.901000298677 0.901000298745 0.440334346992 0.440334347061
2DAIIO8AR	0.901000306144 0.901000306144 0.60555074305 0.60555074305
2DAM	0.901003511601 0.901003659687 0.445487218746 0.445487366832
2DAN	0.901004040516 0.901004094962 0.458550722073 0.458550776519
2DAR	0.901016974583 0.901017443138 0.603121057567 0.603121526122
2DCCG	0.901055226748 0.901055334433 0.294763260907 0.294763368592
2DCCO8G	0.901057408746 0.901057409579 0.363468194862 0.363468195694
2DCG	0.901077502635 0.901078605081 0.295686497747 0.295687600193
2DORG	0.901493413629 0.901493471584 0.336608992428 0.336609050384
2DZCG	0.901678550539 0.901678566197 0.299585973719 0.299585989376
2DZG	0.901681789488 0.901681949785 0.345059957214 0.345060117512
2E-AR	0.902951924604 0.902951928215 0.605302715555 0.605302719166
2E2	0.902975715146 0.902979050053 0.902975715146 0.902979050053
2FAE	0.903077832328 0.903077914413 0.225687295334 0.225687377419
2G	0.904348028257 0.904577858548 0.359211955556 0.359441785847
2G-2A	0.904587049584 0.904587051919 0.0710402288036 0.071040231139
2G-2ARG	0.904587047611 0.904587047619 0.335240011579 0.335240011586
2G-TOR	0.904585023727 0.904585024185 0.625470719971 0.625470720429
2G2AK	0.90458911993 0.904589122941 0.428953125785 0.428953128796
2G8ARARG	0.904653552061 0.904653552073 0.335161536766 0.335161536778
2G8G	0.904682642815 0.904683771991 0.362903975176 0.362905104352
2G8TOR	0.904717142663 0.904717147018 0.625490668477 0.625490672833
2GAIIR	0.903249140165 0.903249140708 0.619630918924 0.619630919468
2GDAM	0.903473476182 0.903473487752 0.445459380764 0.445459392334
2GDAR	0.903474528044 0.903474564652 0.603032976193 0.603033012802
2GDSC8G	0.903520054514 0.903520054647 0.361831936019 0.361831936153
2GEG	0.903577408088 0.903578436161 0.307082017638 0.307083045711
2GHAR	0.903768611406 0.903768637698 0.603635621105 0.603635647397
2GHG	0.903784804494 0.90378543781 0.317533071811 0.317533705127
2GPTCG	0.904123423141 0.904123424809 0.299376001373 0.29937600304
2GSCC2	0.904199778125 0.904199779194 0.899308512531 0.899308513599
2GSCO2	0.904201298011 0.904201299355 0.907016474488 0.907016475832
2GTO2	0.904286524624 0.904286557448 0.90835110921 0.908351142034
2HOE	0.905093146556 0.905093876511 0.253738719171 0.253739449126
2HOEPTG	0.905092434292 0.905092434347 0.342902491463 0.342902491518
2HZCG	0.905256145003 0.905256156248 0.299605282675 0.29960529392
2HZG	0.905258471204 0.905258586329 0.345257636401 0.345257751526
2IIIR	0.905665633863 0.905665636282 0.619643042959 0.619643045377
2IIIR2	0.905665636629 0.905665636677 0.909767715091 0.909767715139
2IIIRG	0.905665627409 0.905665627598 0.336354726264 0.336354726453
2IIIRHZR	0.90566562816 0.90566562816 0.63305443408 0.633054434081
2IIRAM	0.905668310251 0.905668310342 0.445896812868 0.44589681296
2K	0.906105249195 0.90613032582 0.436130736711 0.436155813335
2O	0.908478725724 0.908840219926 0.575421826312 0.575783320514
2O2	0.908892075134 0.908899233208 0.908892075134 0.908899233208
2O2ANR	0.908858033131 0.908858033244 0.621578681668 0.621578681781
2O2AR	0.908858676008 0.908858699225 0.605355183891 0.605355207108
2O2RG	0.908886029654 0.908886053023 0.337975331346 0.337975354715
2O8AE	0.908955267574 0.9089553686 0.228734497661 0.228734598687
2O8AIR	0.908957067444 0.908957069434 0.619262524188 0.619262526179
2O8AK	0.908957260347 0.908957275389 0.42899841203 0.428998427072
2O8AM	0.908957502445 0.908957525748 0.446259078008 0.446259101311
2O8AM-8AM	0.908957526721 0.908957526721 0.446279603948 0.446279603948
2O8AR	0.908959620989 0.908959694721 0.605563275735 0.605563349467
2O8G	0.909005032427 0.909006808479 0.363966233034 0.363968009087
2O8G-OHCO8AM	0.9090068487 0.9090068487 0.446252765635 0.446252765635
2O8TCG	0.909055436777 0.909055446959 0.299546665811 0.299546675994
2OAIIL	0.90675028647 0.906750286641 0.440334515506 0.440334515677
2OAIL	0.906750438423 0.906750444773 0.440253526014 0.440253532364
2OAM	0.906758326542 0.906758697114 0.445851465902 0.445851836475
2OAN	0.906759650106 0.906759786352 0.458684642884 0.45868477913
2OANAE	0.906758988295 0.906758988901 0.226448560783 0.226448561388
2OAR	0.906792016517 0.906793189035 0.604273561743 0.604274734261
2OARARAE	0.906786527144 0.906786527161 0.227096003906 0.227096003923
2OC2	0.907078074396 0.907078773585 0.900147959746 0.900148658934
2OCC2	0.90690088599 0.906900954286 0.899293849911 0.899293918206
2OCCC	0.906883193316 0.906883530211 0.0864828752567 0.0864832121519
2OCCC8G	0.906883683808 0.906883685464 0.361564033536 0.361564035191
2OCCOE	0.906891226098 0.906891250364 0.251574884578 0.251574908845
2OCDCOH	0.906904413748 0.906904414482 0.38282645836 0.382826459094
2OCFTOPZG	0.90692925022 0.90692925022 0.34547605367 0.34547605367
2OCHCC8	0.906949060851 0.906949061598 0.942443934772 0.942443935519
2OCOK	0.906984079815 0.906984116805 0.432444418678 0.432444455669
2OD	0.907187650417 0.907205402671 0.203559890724 0.203577642978
2ODAE	0.907101419781 0.907101498676 0.225314733687 0.225314812582
2ODAM	0.907103165071 0.907103183269 0.445470265047 0.445470283245
2ODAR	0.907104819518 0.907104877098 0.603067414846 0.603067472426
2ODC8G	0.907119409077 0.907119417597 0.36161819705 0.36161820557
2ODCC8G	0.907110218804 0.907110219637 0.36156730219 0.361567303022
2ODCCG	0.907109520273 0.907109533506 0.294750932541 0.294750945774
